Matrix Size,Naive Multiplication,OpenCV Multiplication,OpenMP Multiplication,Strassen Multiplication,
5,0.64,152462,901.693,0.64,
6,0.96,3.841,2.881,0.96,
7,0.961,2.24,5.762,0.96,
8,1.28,2.241,3.201,1.281,
9,1.6,3.521,5.762,2.241,
10,2.241,3.201,4.481,2.561,
11,2.881,3.2,216.061,3.201,
12,3.521,3.841,200.376,4.161,
13,4.162,4.161,234.306,5.121,
14,5.122,4.161,198.776,6.082,
15,6.402,5.121,217.021,7.362,
16,7.682,5.122,228.545,8.642,
17,9.283,6.402,15.044,10.563,
18,10.884,7.042,210.299,13.764,
19,13.124,7.362,201.656,16.004,
20,15.684,8.002,206.778,18.565,
21,18.565,9.603,208.379,21.446,
22,21.126,9.923,231.426,24.327,
23,24.327,11.203,202.937,27.528,
24,27.207,11.843,211.259,31.049,
25,30.408,13.764,247.75,34.889,
26,35.21,15.685,23.686,39.371,
27,37.771,16.645,216.061,43.852,
28,42.252,17.284,233.666,48.654,
29,47.054,19.205,221.503,53.455,
30,53.455,21.446,215.421,59.217,
31,58.577,23.686,232.065,64.658,
32,62.418,25.607,243.269,71.06,
33,69.78,27.528,221.822,225.024,
34,76.181,29.768,224.383,273.037,
35,82.583,32.329,52.175,229.505,
36,89.945,34.249,27.848,36.81,
37,177.33,38.731,222.142,77.781,
38,104.989,41.292,236.866,247.11,
39,112.992,44.172,232.706,238.787,
40,202.297,46.093,233.025,286.801,
41,129.956,52.814,269.836,106.27,
42,140.84,56.015,1087.99,106.27,
43,210.299,60.817,89.305,297.044,
44,161.325,62.737,243.908,121.954,
45,174.129,64.979,258.633,259.593,
46,260.234,69.459,251.271,307.607,
47,195.895,74.581,115.873,283.6,
48,208.059,77.461,260.553,522.387,
49,262.474,83.544,292.242,328.092,
50,234.626,90.905,266.315,286.8,
51,250.631,94.427,271.116,33112.7,
52,319.45,101.149,278.798,346.978,
53,280.399,107.23,278.479,313.688,
54,297.043,112.672,290.962,318.17,
55,315.609,120.354,288.401,366.823,
56,332.573,122.594,290.001,331.293,
57,352.099,129.957,294.483,338.335,
58,420.278,137.639,301.845,377.707,
59,386.669,145.641,1067.18,361.702,
60,406.514,150.762,530.069,353.699,
61,427.961,161.326,311.448,395.952,
62,450.367,171.248,324.572,370.024,
63,471.172,255.111,332.894,367.783,
64,493.579,181.811,710.92,522.707,
65,518.226,191.094,338.015,556.956,
66,543.833,282.32,360.742,485.256,
67,568.8,211.259,353.699,600.809,
68,595.047,219.262,360.421,409.396,
69,621.295,264.074,377.066,1386.63,
70,648.823,249.03,380.907,563.358,
71,676.35,251.271,386.668,596.968,
72,707.719,339.615,392.11,512.144,
73,736.527,301.845,399.472,623.535,
74,786.461,285.52,421.559,624.176,
75,801.505,370.344,424.759,639.22,
76,831.274,304.406,421.559,556.637,
77,864.883,313.688,473.413,639.86,
78,899.453,412.276,456.129,633.778,
79,937.543,344.737,453.567,636.979,
80,966.672,347.298,274.637,426.04,
81,1003.8,362.982,288.081,493.578,
82,1042.53,377.707,297.684,501.581,
83,1080.3,393.711,305.046,529.749,
84,1123.84,402.673,313.048,489.737,
85,1203.86,420.598,335.455,499.66,
86,1204.5,456.448,1148.8,535.19,
87,1249.95,453.248,364.262,536.791,
88,1291.56,467.332,810.147,552.475,
89,1333.49,480.135,379.947,598.568,
90,1380.55,511.184,393.071,572.001,
91,1428.24,518.546,402.673,621.295,
92,1485.54,534.23,413.556,581.283,
93,1535.47,557.597,439.484,652.984,
94,1584.13,578.722,448.446,607.851,
95,1659.35,587.685,457.089,653.623,
96,1674.71,605.611,466.051,647.222,
97,1732.97,622.255,496.78,739.728,
98,2043.45,643.701,500.621,700.677,
99,1837,679.231,515.345,826.792,
100,1896.85,685.312,525.587,732.366,
101,1964.71,697.796,556.637,788.702,
102,2023.93,723.403,578.722,741.969,
103,2086.67,745.49,582.243,836.715,
104,2143.96,757.973,591.846,951.628,
105,2197.42,784.22,632.498,880.247,
106,2259.52,825.512,640.18,840.236,
107,2337.3,835.115,644.342,1086.39,
108,2410.92,849.519,653.624,870.005,
109,2481.66,878.648,700.677,954.829,
110,2524.55,907.135,1040.29,911.936,
111,2593.69,931.462,725.324,1149.76,
112,2669.23,950.987,736.527,1264.35,
113,2772.3,975.314,767.256,1067.18,
114,2826.4,1006.36,1003.16,2143,
115,2885.61,1041.89,809.827,1094.39,
116,2965.96,1065.58,822.312,1101.75,
117,3044.38,1113.27,847.919,1160.65,
118,3118,1117.43,1709.92,1091.51,
119,3198.34,1144.64,894.331,1145.28,
120,3274.2,1182.41,909.056,1110.39,
121,3359.99,1201.62,954.188,1249.63,
122,3617.34,1235.23,968.272,1358.46,
123,3661.51,1263.71,1094.39,1296.68,
124,3817.39,1304.69,1091.19,1266.92,
125,3905.1,1325.17,1128.96,1355.58,
126,4029.93,1355.58,1153.28,1322.29,
127,4574.09,1393.67,1082.54,2105.87,
128,3989.28,1450.97,1667.35,2056.26,
129,4092.35,1544.44,1152.96,2299.21,
130,4177.17,1495.14,1192.66,2341.78,
131,4702.44,1573.88,1196.18,2595.29,
132,4384.91,1586.05,1208.02,2568.08,
133,4487.34,1593.73,1248.03,2467.57,
134,4715.57,1645.9,1278.44,2405.48,
135,4793.99,1681.43,1297.96,2566.16,
136,4795.91,1697.76,1670.87,2385.31,
137,4917.22,1745.45,1377.03,2773.9,
138,4988.28,1789.94,1400.39,2648.75,
139,5232.51,1844.36,1415.76,2484.86,
140,5245.96,1852.04,1442.65,2632.74,
141,5323.42,2116.76,1482.98,2732.29,
142,5433.21,1945.19,1813.63,2498.62,
143,5544.28,8951.64,1536.43,2827.68,
144,5664.31,2204.78,1791.22,2613.22,
145,5920.71,2460.85,1629.58,2729.09,
146,6171.98,2187.81,1917.34,2821.59,
147,6052.26,2244.15,1970.15,2827.68,
148,18531,2259.2,1985.84,2726.85,
149,6294.25,2292.17,1748.33,2989.32,
150,6409.48,2356.18,1775.22,3134,
151,6537.2,2452.21,1806.91,2857.12,
152,6674.84,2487.74,1845.64,2924.66,
153,6803.83,2485.5,1885.01,3034.13,
154,6957.8,2533.83,1926.62,3481.94,
155,7083.91,2590.17,1960.55,4027.05,
156,7217.07,2612.89,2317.13,3059.1,
157,7367.19,2686.2,2044.73,3263.64,
158,7639.27,2772.62,2088.91,3287.97,
159,7729.21,2788.95,2115.8,3206.66,
160,7863.01,2819.35,2286.4,3184.26,
161,7968.96,2901.3,2204.78,3586.93,
162,8091.24,2956.99,2250.87,3953.43,
163,8439.17,3311.65,2285.44,3520.35,
164,8483.67,3087.27,2310.41,3549.8,
165,8634.75,3093.35,2369.31,3718.49,
166,8721.17,3174.97,2420.84,4814.79,
167,8844.09,3293.41,2645.86,3738.65,
168,9107.2,3288.28,2490.62,3655.11,
169,9298.62,3329.9,2594.65,4256.24,
170,9352.39,3504.02,2605.85,3803.31,
171,9620.95,3460.81,2643.62,3839.48,
172,9685.28,3497.3,3021.97,3521.95,
173,9861.33,3569.64,2765.9,3804.91,
174,10016.9,3641.34,2797.27,4054.26,
175,10172.8,3821.24,3013.65,3677.51,
176,10479.4,3742.81,2858.4,5013.25,
177,10536.1,3852.28,2944.83,4151.89,
178,10814.6,3889.41,3011.09,4393.56,
179,10893,4016.17,3030.61,4083.07,
180,11166.7,3999.84,3145.52,4401.24,
181,11302.4,4660.83,3150.01,4894.82,
182,11475.5,4161.81,3479.38,4264.24,
183,11705.1,4231.27,3305.57,4612.82,
184,11844.3,4451.49,3408.64,4246.63,
185,12135.6,4350.02,3600.69,4583.37,
186,12302.7,4428.77,3404.8,5259.72,
187,12504.3,4502.71,3438.41,4632.98,
188,12654.4,4595.53,3456.33,4410.2,
189,12900.9,4641.63,5453.05,4622.74,
190,13144.8,4723.25,3847.8,4590.73,
191,13359.9,4793.67,3647.75,5166.57,
192,13646.1,4905.38,3711.12,4499.19,
193,13819.2,4958.83,3816.43,5112.8,
194,14024.7,5052.3,4038.26,5052.3,
195,14441.2,5158.89,4065.46,5023.81,
196,14728.6,5213.95,3970.08,4997.25,
197,14876.2,5617.58,4084.03,5498.83,
198,15232.8,5375.59,4189.34,5234.11,
199,15347.4,5474.82,4180.06,5391.6,
200,15458.7,5522.19,4216.87,5285.97,
201,15680.9,5623.66,4404.76,5427.45,
202,16271.5,5870.13,4547.2,5784.35,
203,16168.4,5911.1,4410.52,6062.19,
204,16539.1,5858.61,4839.76,5352.23,
205,16835.5,5967.76,4573.45,5922.31,
206,17040,6148.29,4733.49,5957.2,
207,17260.5,6119.48,4900.58,6124.28,
208,17312.4,6162.37,5261.64,5641.27,
209,17609.4,6328.18,4842,6430.29,
210,17868.1,6393.16,4891.62,6094.19,
211,18452.6,6523.44,5690.88,6194.7,
212,18268.2,6525.36,5159.53,6252.64,
213,18592.8,6626.82,5186.74,6398.92,
214,19120.3,6743.02,5224.83,6981.48,
215,19301.1,6894.1,5302.29,6332.34,
216,19612.2,6899.86,5463.62,6695.96,
217,20125.3,7028.86,5521.87,6781.43,
218,20704.1,7232.75,5510.35,6737.9,
219,20399,7363.67,5548.76,7590.94,
220,21154.4,7319.5,6048.42,6953.64,
221,21396.1,7866.53,6252.64,7113.36,
222,21108,7509.63,5999.45,6809.28,
223,21574.4,7640.87,6005.21,6806.08,
224,21923,7738.18,5950.15,7159.77,
225,22166.2,7834.2,6280.81,8791.91,
226,22363.4,7950.08,6131.32,8093.48,
227,22984.1,8117.16,6314.74,7938.55,
228,23043.9,8133.17,6333.62,7590.94,
229,23295.5,8267.61,6510.31,8054.75,
230,23766,8359.47,6622.98,8262.16,
231,23921,8501.27,6732.45,8032.34,
232,24499.4,8576.17,7000.69,7625.18,
233,25460.3,8838.01,7043.58,8265.04,
234,25483,8911.31,7293.89,8782.63,
235,25315.3,8917.71,6995.25,8179.9,
236,26007.3,8976.92,7395.36,7794.83,
237,26508.3,9352.07,7396.64,8515.04,
238,26969.8,9407.45,7477.3,8821.36,
239,26956.7,9374.48,7681.52,8179.58,
240,27449.3,9478.19,7539.72,8779.75,
241,27851.4,9596.3,8060.19,9802.44,
242,28639.7,9749.94,8163.58,9140.17,
243,28210.8,9829.33,7927.35,9359.43,
244,28705.7,9943.28,8314.02,8946.2,
245,28819.9,10124.1,8177.34,9544.12,
246,29039.5,10234.9,8052.5,9647.19,
247,30002.7,10375.7,8383.48,9896.22,
248,30133,10400.4,8705.81,9318.78,
249,30488.9,10536.1,8574.25,9525.24,
250,31434.4,10852.3,8830.96,9732.66,
251,31366.9,10881.5,8994.85,9501.87,
252,31506.8,10950,9095.04,9503.47,
253,31934.1,11085.7,9229.16,15129.1,
254,32421.3,11211.2,8995.81,15210,
255,32931.2,11399.4,9001.25,15451.1,
256,33049.3,11625.3,9319.42,15126.5,
257,33516,11650.3,9299.9,16939.2,
258,34387.3,11864.5,9450.34,16560.2,
259,34571.6,12056.2,9902.63,17886.6,
260,35396.2,12014.6,10273.9,17258,
261,35571.6,12204.7,10210.6,16881.9,
262,36137.2,12428.5,9994.17,16642.4,
263,36341.7,13142.6,10191.7,16786.8,
264,36795,12529,10186.9,16477.9,
265,37347.5,12746,10381.5,17467,
266,38348.1,12851,10651.6,17386.7,
267,38214.6,13078.9,10461.5,17421.5,
268,38841,13286,10845,17583.2,
269,39144.8,13370.2,11516.2,17478.8,
270,39838.4,13472.3,11363.8,17553.4,
271,39973.5,13719.4,12541.1,17651,
272,40648.2,13877.8,11664.4,17294.1,
273,41091.6,14059.3,12179.4,18935.6,
274,41519.8,14172,12344.6,17732.7,
275,43932,14549.4,12236.4,19262.4,
276,44654.8,14591.6,12019.1,18549.2,
277,44297.3,14668.8,13119.5,18819.7,
278,44476.2,14925.2,12741.5,18318.8,
279,45202.8,15030.5,13230,17890.8,
280,44948.6,15133.2,12680.4,18906.4,
281,45558.7,15303.8,12857.7,19927.5,
282,47583.6,15573,13717.1,19071.9,
283,46753.3,15719.9,13429.1,18950.9,
284,48464.2,15868.1,14406.3,19718.2,
285,48481.2,15976,13972.9,19079.3,
286,49660.4,16196.6,14316,18628.3,
287,49657.8,16378.7,14274.7,16920.6,
288,50398.8,16634.4,14905,19133.1,
289,50894.6,16663.9,14644.1,18554,
290,50661.3,16850.5,14271.2,18708.9,
291,51009.2,17162.9,14402.8,20794.6,
292,53782.2,17174.1,14713.6,20394.2,
293,51725.6,17453.5,14567.3,22316,
294,53222.7,17630.9,15211,18471.8,
295,53512.3,17816.2,15110.2,18508.6,
296,53019.4,17923.8,15139.6,19550.5,
297,54057.1,18248.3,15558.3,21308.4,
298,54647.7,18276.2,15584.9,20304.9,
299,55086.9,18455.1,15521.5,21378.8,
300,55735.4,19736.4,15738.5,21058.7,
301,56854.1,18888.5,15941.1,21456.3,
302,56987.9,19082.8,16697.2,21291.7,
303,57796.4,19309.1,16537.5,21825.3,
304,57892.4,19339.2,16557.6,20491.5,
305,58982.4,19523.9,16764.4,22065.1,
306,59168.3,19752.4,16752.2,21480,
307,60862.2,20069.6,17430.5,21834.6,
308,60612.2,20774.8,18348.8,22138.7,
309,61087.3,20297.2,17507,22242.7,
310,62200.9,20627.9,17427.3,21874.3,
311,62704.7,20737.4,17699.4,21917.2,
312,63190.3,20859.9,18052.1,22672,
313,63421.7,21061.3,18084.8,22818.6,
314,64578.2,21431.6,18561.1,24066.9,
315,65460.3,21586.2,18860.7,24131.6,
316,66077.8,21716.5,18705.1,23706.2,
317,66971.2,21948.6,18892,24369.1,
318,67463.8,22154.7,19206,23085.9,
319,67769.1,22395.4,19175.3,24743.6,
320,68477.5,22511.3,19841.4,23848.6,
321,69380.1,22739.8,19852,24269.2,
322,69664.1,23020.9,20272.6,25712.5,
323,73080.7,23296.5,20110,25118.1,
324,73192.8,23406.3,20644.5,24542.3,
325,73719.9,23618.8,20739.9,24866.2,
326,75315.9,23896.3,21654.7,24677.7,
327,75443.9,24105.7,21427.8,25700.3,
328,75756.7,24335.8,21753,25669.3,
329,75527.8,24665.5,21263.9,27976.2,
330,78055.6,24940.8,22522.5,26726.9,
331,77868,25064.3,22148.6,26980.1,
332,78408,25283,22316.4,26050.5,
333,81332.6,25755.1,23152.1,26515,
334,80141.9,25716,23508.4,26247.4,
335,79915.6,26054.4,22804.5,26405.2,
336,81518.9,26286.1,22985,26787.7,
337,82530.1,26469.5,23527.3,26528.1,
338,82870,26631.5,23952.3,26628.9,
339,83651.4,26910,23631.3,25776.8,
340,83474,27086.3,24648.2,25840.5,
341,84289.6,27244.8,24375.5,27709.6,
342,84391.1,27595.3,24165.8,26909,
343,85823.2,27755.3,25246.1,26217.3,
344,85455.4,27833.7,24766,26600.8,
345,86543.7,28173,24442.1,27479.4,
346,87509.4,28429.8,25128,27644.3,
347,88601.2,28882.7,25638.3,27725.2,
348,89833.3,28956.9,25741.6,27361.6,
349,89821.4,29142.6,25411,27372.2,
350,91481.7,29529.9,25989.4,27718.5,
351,91901,29690.9,26382.8,27381.8,
352,93704.4,29877.2,26902,32111.4,
353,94615.4,30252.7,26689.7,32935,
354,97600.3,30425.8,28091.7,29889.4,
355,96522.5,30870.4,28038.9,31162.7,
356,95702.1,30898.9,27054.3,30024.4,
357,98901.4,31211.3,28393.6,31060.6,
358,99869,31543.3,29044.3,31098,
359,99017.3,31817.3,28342.1,31195,
360,100465,32030.1,28908.9,30054.2,
361,101853,32273.1,29103.5,31160.4,
362,102948,32551.2,29558.7,31725.1,
363,103701,32877.7,29681.6,31496.9,
364,103380,33003.2,29093.3,30659.8,
365,105337,33387.6,29965.2,30937.7,
366,104594,33754.8,29935.5,30671,
367,105604,33994.5,30267.4,31563.1,
368,107713,34036.1,31271.8,31366.3,
369,108638,34353,30955.9,32475.4,
370,108706,34717.3,31421.6,32008.4,
371,109144,35052.4,31256.2,31864.6,
372,109198,35135.3,31226.7,32329.7,
373,111007,35523.9,31751.7,32504.8,
374,112749,35737.1,32360.5,32272.8,
375,112522,36256.3,31926.1,32829.1,
376,114650,36350.4,32767.9,31863,
377,116007,36454.7,32906.5,38858.9,
378,115715,36663.1,33119.4,33962.8,
379,116714,37223,33494.2,33619.4,
380,117220,37419.5,33389.9,33946.2,
381,119589,37742.1,33712.2,34335.4,
382,119644,37973.9,34423.1,35636.9,
383,121005,38194.7,34542.8,33765,
384,121890,38640.3,34765.3,33420.9,
385,123241,38940.9,35057.2,36695.4,
386,124162,39019,35635.6,37149,
387,125234,39942.8,35846.6,37560,
388,126174,39165.3,35967.6,37087.6,
389,127604,39958.8,36418.2,37312.3,
390,128679,40336.5,36772.6,37104.8,
391,129862,40915.5,36936.2,37465.9,
392,131052,40316.9,37408.3,37097.8,
393,132210,41168.1,37707.6,38771.9,
394,132458,41723.7,38123.4,39074.7,
395,134167,41906.5,38371.4,38664.6,
396,134638,41966.7,38339.7,38624.9,
397,136195,42357.2,38753,39113.1,
398,136464,43008.3,39310.3,38576.6,
399,140206,42405.8,39474.1,38344.2,
400,139281,43587,39503.9,38196.7,
401,140364,43885.9,40099,39897.9,
402,141858,44527.4,41041.6,39307.4,
403,142088,44816.1,40455.9,39690.2,
404,143840,44366.1,40940.5,40285.3,
405,145067,45185.8,41329.1,40566.9,
406,146536,45612.2,41799.6,40211.6,
407,148186,46077,42256.7,40400.8,
408,148385,46394.5,43125.7,40279.5,
409,149036,46514.8,42643.4,41908.4,
410,150217,47292.3,43000.3,41941.7,
411,152165,47287.5,43473,42037.4,
412,152856,46626.9,43811.4,41699.1,
413,153899,47908.8,43929.2,41834.8,
414,154478,47787.8,44426.3,43557.9,
415,156297,48709.7,44705.1,41672.8,
416,156982,48059.3,44825.4,40295.2,
417,158350,48939.5,45300.7,44431.4,
418,159130,49842.2,45713.7,44722.3,
419,161658,49533.6,46693.1,44915.7,
420,161881,50136.3,46279.6,45267.1,
421,162996,50540.6,46471.3,45247.9,
422,164611,50913.8,47396.7,45866.7,
423,165566,50727.5,47620.8,45422.4,
424,167164,51363.6,47982.8,44897.7,
425,167416,51938.8,48282.7,47062.2,
426,169021,52297.6,48706.2,46932.2,
427,169929,52426.3,48842.2,47040.1,
428,171705,52895.5,49248.7,46860.9,
429,172653,53366.4,49257.7,46933.8,
430,174373,53881.1,49979.8,47374.6,
431,174161,54512,49930.2,47493.7,
432,176402,54098.1,50488.4,46452.1,
433,177629,55110.2,50751.6,49093.2,
434,178659,55172.3,51783.5,48505.5,
435,181938,55852.2,52111.3,48558.3,
436,182580,55676.5,52869.9,48314.1,
437,183921,56431.6,53011.1,48395.7,
438,185480,57042,53518.7,48136.1,
439,186793,57161,53508.5,48470.9,
440,188475,56859.5,54020.3,47460.1,
441,188444,57402.4,54708.2,50031.4,
442,189728,57747.4,54674.3,51207.4,
443,190977,58132.2,55179.4,50556.3,
444,192199,58561.1,55475.1,50863.3,
445,194627,59374.8,55961.7,50104,
446,195835,59941.7,56288.5,49973.4,
447,197501,59983.3,56657.5,50178.9,
448,198879,60103.3,57184.4,49372,
449,199758,61186.5,57871.6,54503.3,
450,201292,61179.1,58561.4,54770.3,
451,201799,62215.9,58224.4,54751.1,
452,201871,62182.3,58193.6,54679.1,
453,205307,62594.9,58926.7,55027.6,
454,204647,62857.7,59388.9,54495.6,
455,207096,63294.3,59787.7,54506.9,
456,207413,64060.9,59755,53537.9,
457,209781,64507.7,60242.2,57321.1,
458,212704,64747.8,61048.9,56509,
459,213327,65320.8,62070.3,56298.1,
460,213978,65116.6,61467.2,56275,
461,214720,65427.4,62022.2,55831.1,
462,217533,66855.9,62522.9,56301,
463,218332,67122.6,63561.6,56391.5,
464,218960,67775.2,63254.3,56758.7,
465,221864,68179.2,63716.8,58597.6,
466,223342,68239,65162,59853,
467,225669,68865.1,64898.9,58954.8,
468,226017,68936.5,65365.6,59067.8,
469,227121,69287.6,65513.8,57906.5,
470,228503,70035.1,65450.7,59249,
471,231377,70472.6,66433.1,58908.4,
472,230847,70172.1,66700.7,57525.3,
473,233248,71093,67312.1,60270.1,
474,235693,71560.6,68144.3,60308.2,
475,236050,72809.3,68266.2,60945.8,
476,237897,72330.1,68803,60115.2,
477,239959,72926.4,69107.4,59572.6,
478,241391,73024.4,70090.4,59665.1,
479,241907,73683.1,70310,60079.9,
480,244357,73936.3,70133.3,58959.9,
481,245530,74587.7,71136.2,64896,
482,247636,75497.1,72549.7,64737.2,
483,247728,76349.8,71128.2,65509.3,
484,249076,76166.1,72294.6,64435.7,
485,250651,76803.7,72503.6,68634.7,
486,254264,77285.1,73544.5,66001,
487,253786,77182.7,74467.3,64612.1,
488,255498,77748.6,74118.4,63866.9,
489,257571,78527,73937,67280,
490,260234,79676.2,75500.3,67527.5,
491,261497,80652.4,75493.9,67305.3,
492,262946,80274.7,75741.9,67152,
493,264927,80466.5,76356.8,67045.7,
494,266580,81381.9,77415.4,67521.7,
495,267751,81348,77630.8,66764.7,
496,268692,81902.4,78026.7,66450.1,
497,269617,81916.5,77596.9,69231.3,
498,270928,83608.8,79333.7,69440,
499,270620,84236.5,77769.1,69792.4,
500,272376,83533.9,78791.4,69546.3,
501,273560,83917.7,79083.4,68997.6,
502,276684,85805.9,80107.3,69605.5,
503,276792,84752.8,80444.1,69170.2,
504,279669,86102,80578.5,68567.8,
505,280722,86391.3,80782.7,106111,
506,281192,87528.3,81557,106237,
507,284078,88244.7,82767.9,106024,
508,284658,87933.2,82232.1,106210,
509,287464,88387.7,83050.2,106199,
